Name,Federation,Gender,Year_of_birth,Title,Standard_Rating,Rapid_rating,Blitz_rating,Inactive_flag
Lasya.g,IND,F,1997.0,WFM,2095,1963.0,2000.0,wi
"Markovskaya, Antonina",RUS,F,1990.0,WFM,2094,2047.0,2049.0,wi
"Arnetta, Maria Teresa",ITA,F,1979.0,WFM,2093,2043.0,2021.0,wi
"Khazhomia, Salome",GEO,F,1991.0,WFM,2092,2084.0,2072.0,wi
"Lingur, Zalina",RUS,F,1998.0,WFM,2091,2077.0,1910.0,wi
"Melashvili, Nino",GEO,F,1961.0,WIM,2091,2109.0,2020.0,wi
"Craciun, Paula-Iulia",ROU,F,1989.0,WFM,2089,2105.0,2128.0,wi
"Sharova, Alexandra",BLR,F,1990.0,WFM,2089,2063.0,2041.0,wi
"Tan, Li Ting",MAS,F,1998.0,WFM,2087,1869.0,1928.0,wi
"Vanagaite, Giedre",LTU,F,1997.0,WFM,2086,1956.0,2003.0,wi
"Ivanova, Karina",RUS,F,1996.0,WFM,2085,2127.0,2081.0,wi
"Nadirjanova, Nodira",UZB,F,1990.0,WIM,2085,2082.0,2164.0,wi
"Stevanec, Lea",SLO,F,1976.0,WFM,2085,2033.0,2026.0,wi
"Tomashevskaya, Lidia",RUS,F,1995.0,WIM,2085,2044.0,2028.0,wi
"Semenova, Alina",RUS,F,1991.0,WFM,2084,2014.0,1964.0,wi
"Beshukova, Alina",RUS,F,2002.0,WFM,2083,1648.0,1647.0,wi
"Azimova, Karina",RUS,F,1994.0,WFM,2081,1978.0,1999.0,wi
"Galkina, Anna",RUS,F,1985.0,WFM,2080,1984.0,1960.0,wi
"Tay, Li Jin Jeslin",SGP,F,1990.0,WFM,2079,2063.0,2021.0,wi
"Grosar, Kiti",SLO,F,1976.0,WIM,2078,2081.0,2072.0,wi
"Gileva, Irina",RUS,F,1971.0,WFM,2077,2029.0,1960.0,wi
"Marinina, Tatiana",RUS,F,1989.0,WFM,2076,2067.0,2033.0,wi
"Smirnova, Anastasia",RUS,F,1990.0,WFM,2076,1941.0,1785.0,wi
"Vovk, Anastasiia",UKR,F,1985.0,WGM,2076,2094.0,1961.0,wi
"Samusenko, Ramziya",RUS,F,1959.0,WFM,2075,2084.0,1959.0,wi
"Calle, Miryam",PER,F,1982.0,WFM,2073,2049.0,2048.0,wi
"Novikova, Galina",RUS,F,1983.0,WFM,2073,2039.0,2030.0,wi
"Maksimova, Elena",BLR,F,1988.0,WFM,2070,2097.0,2091.0,wi
"Martin Perez, Laura",ESP,F,1997.0,WFM,2070,2016.0,2034.0,wi
"Artemyeva, Olga",RUS,F,1996.0,WFM,2069,2034.0,2022.0,wi
"Aslanian, Ludmila K.",UKR,F,1954.0,WIM,2068,2094.0,2040.0,wi
"Hasanova, Turkan",AZE,F,1992.0,WFM,2068,2017.0,2044.0,wi
"Kumanska, Olena",UKR,F,1994.0,WFM,2068,2051.0,2053.0,wi
"Shapoval, Galina",UKR,F,1986.0,WIM,2068,2084.0,2130.0,wi
"Nicoara, Malina",FRA,F,1969.0,WIM,2066,2034.0,2047.0,wi
"Herasimovich, Volha",BLR,F,1985.0,WGM,2065,2058.0,1962.0,wi
"Meera, Sai",IND,F,1977.0,WIM,2064,2027.0,1944.0,wi
"Yushko, Olga",UKR,F,1987.0,WFM,2064,2149.0,2115.0,wi
"Zajtzeva, Viktoria",RUS,F,2000.0,WFM,2064,2007.0,1888.0,wi
"Kim, Yana",RUS,F,1998.0,WFM,2063,2071.0,2112.0,wi
"Rysbayeva, Nazerke",KAZ,F,1990.0,WFM,2063,1954.0,2035.0,wi
"Guo, Emma",AUS,F,1995.0,WIM,2062,2078.0,2039.0,wi
"Avdeenko, Tatiana",RUS,F,1987.0,WFM,2061,2101.0,2050.0,wi
Tin Lay Shwe,MYA,F,1981.0,WFM,2061,2036.0,2023.0,wi
"Mokhna, Natalia",RUS,F,1968.0,WFM,2060,1958.0,1999.0,wi
"Polyakova, Natalia",RUS,F,1961.0,WIM,2059,1806.0,1733.0,wi
"Bezgodova, Svetlana",RUS,F,1971.0,WIM,2058,2126.0,2131.0,wi
"Minina, Veronika",RUS,F,1988.0,WFM,2057,1933.0,1927.0,wi
"Petrova, Alexandra",RUS,F,1985.0,WFM,2057,1928.0,1874.0,wi
"Manelidou, Maria",GRE,F,1992.0,WFM,2055,2038.0,2106.0,wi
"Pavlova, Kseniia",RUS,F,1996.0,WFM,2055,2066.0,1950.0,wi
"Shevtchenko, Olesya",RUS,F,1979.0,WFM,2054,1894.0,2003.0,wi
"Richards-Porter, Deborah",JAM,F,1985.0,WIM,2053,1976.0,1970.0,wi
"Mokriak, Liudmila",UKR,F,1984.0,WIM,2052,1993.0,2027.0,wi
"Pustovidko, Anastasia",RUS,F,1997.0,WFM,2052,2000.0,1956.0,wi
"Martynova, Anastasiya",RUS,F,1999.0,WFM,2051,1910.0,2017.0,wi
"Golovina, Darya",RUS,F,1992.0,WFM,2050,1892.0,1775.0,wi
"Klyasheva, Tatiana",RUS,F,1977.0,WFM,2049,1953.0,1912.0,wi
"Kucherenko, Olena",UKR,F,1984.0,WCM,2049,1949.0,1971.0,wi
"Khusnutdinova, Alsu",RUS,F,1998.0,WFM,2048,2029.0,1998.0,wi
"Ivanova, Simoneta",BUL,F,1997.0,WFM,2046,1965.0,1961.0,wi
"Martsynovskaya, Marina",FRA,F,1973.0,WIM,2046,2036.0,2066.0,wi
"Vykhodtceva, Nina",RUS,F,1986.0,WFM,2044,1983.0,1960.0,wi
"Zarivkina, Victorya",RUS,F,1989.0,WFM,2044,2124.0,2151.0,wi
"Kuzmitskaya, Yana",RUS,F,1987.0,WFM,2041,1967.0,1894.0,wi
"Mokhova, Kristina",RUS,F,1985.0,WFM,2041,2045.0,2034.0,wi
"Kaspute, Vesta",LTU,F,1984.0,WFM,2040,1959.0,1845.0,wi
"Bajarani, Kubra",AZE,F,1974.0,WFM,2039,2144.0,1982.0,wi
"Vahtra, Tuuli",EST,F,1989.0,WFM,2037,1995.0,1889.0,wi
"Oliveira, Maria Ines",POR,F,1996.0,WFM,2036,1881.0,1781.0,wi
"Messina, Roberta",ITA,F,1993.0,WFM,2034,1926.0,1965.0,wi
"Mezenseva, Elena",RUS,F,1965.0,WFM,2034,1846.0,1862.0,wi
"Milovanova, Maria",RUS,F,2000.0,WFM,2034,1904.0,1917.0,wi
"Bayrak, Asli",TUR,F,1989.0,WFM,2033,2016.0,2026.0,wi
"Coimbra, Margarida",POR,F,1983.0,WFM,2030,2071.0,2115.0,wi
"Fomkina, Ekaterina",RUS,F,1987.0,WFM,2030,1903.0,1863.0,wi
"Munkhchuluun, Tsegmed",MGL,F,1991.0,WFM,2030,2024.0,2051.0,wi
"Nekrasova, Elena",LBN,F,1970.0,WFM,2028,1920.0,1894.0,wi
"Dengler, Dijana",BIH,F,1966.0,WFM,2025,2014.0,1998.0,wi
"Trus, Iryna",BLR,F,1989.0,WFM,2025,2004.0,1881.0,wi
"Bednikova, Stefi",BUL,F,1986.0,WIM,2024,2021.0,2024.0,wi
"Blanco Acevedo, Maria Carolina",VEN,F,1980.0,WIM,2024,2024.0,1985.0,wi
"Rodionova, Polina",RUS,F,1997.0,WFM,2024,2105.0,2058.0,wi
"Bogdan, Ekaterina",BLR,F,1993.0,WFM,2023,2030.0,2001.0,wi
"Nguyen, Thi Thuy Trien",VIE,F,1995.0,WFM,2022,1945.0,1996.0,wi
"Biti, Ana",SLO,F,1981.0,WFM,2021,1871.0,2000.0,wi
"Mammadova, Susan",AZE,F,2001.0,WFM,2020,1623.0,1656.0,wi
"Panella, Fiammetta",ITA,F,1988.0,WFM,2020,2013.0,1989.0,wi
"Chirita, Andra-Marina",ROU,F,1990.0,WFM,2019,2034.0,2043.0,wi
